lon,lat,,,,,
131.7559,33.24044,,,,, 
131.7563,33.24038,,,,, 
131.75671,33.24032,,,,, 
131.75712,33.24027,,,,, 
131.75755,33.24021,,,,, 
131.75775,33.24019,,,,, 
131.75796,33.24016,,,,, 
131.75816,33.24015,,,,, 
131.75872,33.24008,,,,, 
131.75891,33.24007,,,,, 
131.75918,33.24005,,,,, 
131.75929,33.24004,,,,, 
131.75929,33.24004,,,,, 
131.75936,33.24004,,,,, 
131.75942,33.24003,,,,, 
131.75946,33.24003,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.75946,33.24004,,,,, 
131.7595,33.24003,,,,, 
131.75956,33.24003,,,,, 
131.75964,33.24002,,,,, 
131.75975,33.24002,,,,, 
131.75985,33.24001,,,,, 
131.76028,33.24,,,,, 
131.76045,33.24,,,,, 
131.76062,33.23999,,,,, 
131.76138,33.23999,,,,, 
131.76138,33.23999,,,,, 
131.76316,33.24005,,,,, 
131.76341,33.24005,,,,, 
131.76367,33.24007,,,,, 
131.76393,33.24008,,,,, 
131.7647,33.24011,,,,, 
131.76496,33.24012,,,,, 
131.76524,33.24013,,,,, 
131.7655,33.24015,,,,, 
131.76576,33.24016,,,,, 
131.76576,33.24016,,,,, 
131.76603,33.24017,,,,, 
131.76737,33.24024,,,,, 
131.76763,33.24025,,,,, 
131.76843,33.24028,,,,, 
131.76896,33.24032,,,,, 
131.76922,33.24034,,,,, 
131.76948,33.24038,,,,, 
131.76972,33.24042,,,,, 
131.76995,33.24048,,,,, 
131.77018,33.24054,,,,, 
131.77018,33.24054,,,,, 
131.7704,33.24059,,,,, 
131.77061,33.24065,,,,, 
131.77081,33.2407,,,,, 
131.77101,33.24076,,,,, 
131.7712,33.24082,,,,, 
131.77139,33.24088,,,,, 
131.77157,33.24095,,,,, 
131.77209,33.24116,,,,, 
131.77244,33.2413,,,,, 
131.77261,33.24137,,,,, 
131.77278,33.24145,,,,, 
131.77311,33.2416,,,,, 
131.77343,33.24174,,,,, 
131.77359,33.24182,,,,, 
131.77375,33.24189,,,,, 
131.77392,33.24198,,,,, 
131.77424,33.24213,,,,, 
131.77458,33.24229,,,,, 
131.77508,33.24253,,,,, 
131.7754,33.24268,,,,, 
131.77572,33.24283,,,,, 
131.77587,33.24291,,,,, 
131.77587,33.24291,,,,, 
131.77603,33.24298,,,,, 
131.77636,33.24314,,,,, 
131.77644,33.24316,,,,, 
131.77644,33.24316,,,,, 
131.77659,33.24302,,,,, 
131.77656,33.24282,,,,, 
131.77648,33.24259,,,,, 
131.77645,33.24251,,,,, 
131.7763,33.24234,,,,, 
131.77626,33.24229,,,,, 
131.77621,33.24224,,,,, 
131.77621,33.24224,,,,, 
131.7761,33.24215,,,,, 
131.77607,33.24211,,,,, 
131.776,33.24205,,,,, 
131.77578,33.24187,,,,, 
131.77583,33.24172,,,,, 
131.77586,33.24163,,,,, 
131.77589,33.24153,,,,, 
131.77587,33.24143,,,,, 
131.77584,33.2414,,,,, 
131.77577,33.24135,,,,, 
131.77572,33.24132,,,,, 
131.77568,33.2413,,,,, 
131.77565,33.24127,,,,, 
131.77565,33.24108,,,,, 
131.77578,33.24068,,,,, 
131.77583,33.24062,,,,, 
131.77593,33.24053,,,,, 
131.776,33.2405,,,,, 
131.77604,33.24047,,,,, 
131.77615,33.24045,,,,, 
131.77615,33.24045,,,,, 
131.77621,33.24046,,,,, 
131.77635,33.24057,,,,, 
131.77639,33.24062,,,,, 
131.77662,33.24073,,,,, 
131.77671,33.24076,,,,, 
131.77694,33.24084,,,,, 
131.77699,33.24083,,,,, 
131.77703,33.24081,,,,, 
131.77708,33.24077,,,,, 
131.77708,33.24077,,,,, 
131.77714,33.24065,,,,, 
131.77726,33.24046,,,,, 
131.77731,33.2404,,,,, 
131.7774,33.24026,,,,, 
131.77743,33.24007,,,,, 
131.77745,33.23997,,,,, 
131.77745,33.23997,,,,, 
131.77748,33.23978,,,,, 
131.77749,33.23968,,,,, 
131.77751,33.23944,,,,, 
131.77751,33.23944,,,,, 
131.77748,33.23938,,,,, 
131.77743,33.23934,,,,, 
131.77738,33.23932,,,,, 
131.77737,33.23926,,,,, 
131.77737,33.23926,,,,, 
131.77745,33.23916,,,,, 
131.77749,33.23911,,,,, 
131.77752,33.23905,,,,, 
131.77769,33.23889,,,,, 
131.77793,33.23879,,,,, 
131.77793,33.23879,,,,, 
131.77804,33.23876,,,,, 
131.77824,33.2387,,,,, 
131.77835,33.23867,,,,, 
131.77844,33.23865,,,,, 
131.77861,33.23863,,,,, 
131.77876,33.23866,,,,, 
131.77883,33.23868,,,,, 
131.77883,33.23868,,,,, 
131.77897,33.23873,,,,, 
131.77899,33.23874,,,,, 
131.77923,33.2388,,,,, 
131.77932,33.23882,,,,, 
131.77943,33.23884,,,,, 
131.78077,33.23897,,,,, 
131.78082,33.23897,,,,, 
131.78099,33.23892,,,,, 
131.78115,33.23895,,,,, 
131.78128,33.23896,,,,, 
131.78146,33.23896,,,,, 
131.78163,33.23896,,,,, 
131.7817,33.23894,,,,, 
131.78219,33.239,,,,, 
131.78219,33.239,,,,, 
131.78259,33.239,,,,, 
131.78271,33.239,,,,, 
131.7828,33.23904,,,,, 
131.78312,33.23913,,,,, 
131.78332,33.23916,,,,, 
131.78485,33.23946,,,,, 
131.78521,33.23944,,,,, 
131.78578,33.23943,,,,, 
131.7863,33.23949,,,,, 
131.78666,33.23953,,,,, 
131.78721,33.23959,,,,, 
131.78739,33.23961,,,,, 
131.78758,33.23963,,,,, 
131.78794,33.23967,,,,, 
131.78848,33.23973,,,,, 
131.78884,33.23978,,,,, 
131.78921,33.23981,,,,, 
131.78973,33.23988,,,,, 
131.78991,33.2399,,,,, 
131.78991,33.2399,,,,, 
131.79008,33.23992,,,,, 
131.7906,33.23997,,,,, 
131.7906,33.23997,,,,, 
131.79159,33.2399,,,,, 
131.79194,33.23983,,,,, 
131.7928,33.23966,,,,, 
131.79315,33.23959,,,,, 
131.79315,33.23959,,,,, 
131.79368,33.23949,,,,, 
131.79403,33.23942,,,,, 
131.79403,33.23942,,,,, 
131.79437,33.23935,,,,, 
131.79455,33.23931,,,,, 
131.79473,33.23928,,,,, 
131.79508,33.23921,,,,, 
131.79542,33.23913,,,,, 
131.79609,33.23896,,,,, 
131.79624,33.23891,,,,, 
131.7964,33.23885,,,,, 
131.79655,33.23879,,,,, 
131.79655,33.23879,,,,, 
131.79702,33.2386,,,,, 
131.79785,33.23833,,,,, 
131.79838,33.23833,,,,, 
131.79873,33.23841,,,,, 
131.7989,33.23847,,,,, 
131.79905,33.23854,,,,, 
131.79922,33.23862,,,,, 
131.79937,33.23869,,,,, 
131.79971,33.23886,,,,, 
131.8002,33.23911,,,,, 
131.80055,33.2393,,,,, 
131.80107,33.23955,,,,, 
131.80152,33.23978,,,,, 
131.8018,33.24,,,,, 
131.80192,33.24013,,,,, 
131.80204,33.24027,,,,, 
131.80255,33.24085,,,,, 
131.8027,33.24097,,,,, 
131.80303,33.24116,,,,, 
131.80323,33.24122,,,,, 
131.80345,33.24126,,,,, 
131.80366,33.24128,,,,, 
131.80387,33.24131,,,,, 
131.80409,33.24133,,,,, 
131.80453,33.24138,,,,, 
131.80497,33.24143,,,,, 
131.80583,33.24153,,,,, 
131.80625,33.24157,,,,, 
131.80725,33.24166,,,,, 
131.80743,33.24168,,,,, 
131.80776,33.24176,,,,, 
131.80809,33.24187,,,,, 
131.80824,33.24195,,,,, 
131.80853,33.24214,,,,, 
131.80868,33.24223,,,,, 
131.80882,33.24232,,,,, 
131.80897,33.24241,,,,, 
131.80946,33.24263,,,,, 
131.80963,33.24269,,,,, 
131.80963,33.24269,,,,, 
131.80979,33.24274,,,,, 
131.80979,33.24274,,,,, 
131.80998,33.2428,,,,, 
131.81016,33.24287,,,,, 
131.81034,33.24293,,,,, 
131.81054,33.243,,,,, 
131.81112,33.24319,,,,, 
131.81112,33.24319,,,,, 
131.81172,33.24338,,,,, 
131.81172,33.24338,,,,, 
131.81301,33.24394,,,,, 
131.8132,33.24403,,,,, 
131.81336,33.24411,,,,, 
131.81355,33.24419,,,,, 
131.81355,33.24419,,,,, 
131.81375,33.24426,,,,, 
131.81375,33.24426,,,,, 
131.81394,33.24431,,,,, 
131.81414,33.24438,,,,, 
131.81436,33.24444,,,,, 
131.81455,33.2445,,,,, 
131.81475,33.24456,,,,, 
131.81495,33.24461,,,,, 
131.81495,33.24461,,,,, 
131.81515,33.24467,,,,, 
131.81555,33.24476,,,,, 
131.81575,33.2448,,,,, 
131.81658,33.24491,,,,, 
131.817,33.24501,,,,, 
131.81814,33.24543,,,,, 
131.81889,33.24558,,,,, 
131.81907,33.24555,,,,, 
131.81907,33.24555,,,,, 
131.81925,33.24552,,,,, 
131.82012,33.24565,,,,, 
131.82098,33.2459,,,,, 
131.82135,33.24592,,,,, 
131.82153,33.24593,,,,, 
131.82189,33.24596,,,,, 
131.82209,33.24597,,,,, 
131.82244,33.246,,,,, 
131.82263,33.24604,,,,, 
131.82295,33.24614,,,,, 
131.82353,33.2464,,,,, 
131.82365,33.24646,,,,, 
131.82391,33.24656,,,,, 
131.82403,33.24658,,,,, 
131.82415,33.24659,,,,, 
131.82426,33.24658,,,,, 
131.82449,33.24651,,,,, 
131.82502,33.24633,,,,, 
131.82513,33.2463,,,,, 
131.82524,33.24628,,,,, 
131.82559,33.2463,,,,, 
131.82571,33.24633,,,,, 
131.82595,33.24641,,,,, 
131.82606,33.24647,,,,, 
131.82661,33.24678,,,,, 
131.82684,33.24685,,,,, 
131.82826,33.24689,,,,, 
131.82859,33.24702,,,,, 
131.8287,33.24706,,,,, 
131.82879,33.24711,,,,, 
131.8289,33.24716,,,,, 
131.82901,33.2472,,,,, 
131.82913,33.24725,,,,, 
131.82951,33.2474,,,,, 
131.82965,33.24746,,,,, 
131.82978,33.24752,,,,, 
131.83006,33.24764,,,,, 
131.83021,33.2477,,,,, 
131.83088,33.24794,,,,, 
131.83105,33.24799,,,,, 
131.83137,33.24805,,,,, 
131.83151,33.24806,,,,, 
131.83164,33.24805,,,,, 
131.83177,33.248,,,,, 
131.83198,33.24784,,,,, 
131.83213,33.24763,,,,, 
131.83224,33.24741,,,,, 
131.83224,33.24741,,,,, 
131.8323,33.24732,,,,, 
131.83268,33.24708,,,,, 
131.83282,33.24705,,,,, 
131.83296,33.24704,,,,, 
131.83338,33.24699,,,,, 
131.83352,33.24697,,,,, 
131.83367,33.24697,,,,, 
131.83383,33.24697,,,,, 
131.83413,33.24698,,,,, 
131.8343,33.247,,,,, 
131.83447,33.24701,,,,, 
131.83464,33.24702,,,,, 
131.83482,33.24703,,,,, 
131.83499,33.24704,,,,, 
131.83552,33.24707,,,,, 
131.83569,33.24709,,,,, 
131.83602,33.24715,,,,, 
131.83648,33.2472,,,,, 
131.83694,33.24724,,,,, 
131.83917,33.2482,,,,, 
131.83929,33.24817,,,,, 
131.83959,33.24804,,,,, 
131.84054,33.24811,,,,, 
131.84069,33.24817,,,,, 
131.84085,33.24823,,,,, 
131.841,33.24828,,,,, 
131.84115,33.24834,,,,, 
131.84225,33.24891,,,,, 
131.8424,33.24901,,,,, 
131.84252,33.24912,,,,, 
131.84268,33.24922,,,,, 
131.84297,33.24943,,,,, 
131.84342,33.24974,,,,, 
131.84359,33.24984,,,,, 
131.84407,33.25013,,,,, 
131.84422,33.25022,,,,, 
131.84469,33.25051,,,,, 
131.84486,33.25061,,,,, 
131.84501,33.2507,,,,, 
131.84533,33.2509,,,,, 
131.84548,33.25099,,,,, 
131.84605,33.25115,,,,, 
131.84681,33.25117,,,,, 
131.84703,33.25124,,,,, 
131.84724,33.25131,,,,, 
131.84745,33.25139,,,,, 
131.84765,33.25146,,,,, 
131.84786,33.25152,,,,, 
131.84828,33.25164,,,,, 
131.84849,33.25168,,,,, 
131.84872,33.25173,,,,, 
131.84895,33.25176,,,,, 
131.84942,33.2518,,,,, 
131.85009,33.25182,,,,, 
131.85052,33.2518,,,,, 
131.85139,33.25175,,,,, 
131.85182,33.25173,,,,, 
131.85226,33.25169,,,,, 
131.85247,33.25167,,,,, 
131.85269,33.25165,,,,, 
131.85313,33.25162,,,,, 
131.85357,33.25159,,,,, 
131.8538,33.25157,,,,, 
131.85426,33.25154,,,,, 
131.85447,33.25152,,,,, 
131.86343,33.2501,,,,, 
131.86351,33.25003,,,,, 
131.86351,33.25003,,,,, 
131.86357,33.25001,,,,, 
131.86373,33.24993,,,,, 
131.86384,33.24986,,,,, 
131.8639,33.24982,,,,, 
131.86405,33.24969,,,,, 
131.86412,33.24964,,,,, 
131.86412,33.24964,,,,, 
131.86425,33.24954,,,,, 
131.86453,33.24935,,,,, 
131.8646,33.2493,,,,, 
131.86488,33.24915,,,,, 
131.85,33.24905,,,,, 
131.86518,33.24901,,,,, 
131.86543,33.24893,,,,, 
131.86555,33.24889,,,,, 
131.86579,33.24882,,,,, 
131.86604,33.24877,,,,, 
131.86616,33.24876,,,,, 
131.86628,33.24876,,,,, 
131.86653,33.24874,,,,, 
131.86665,33.24874,,,,, 
131.86701,33.24872,,,,, 
131.86727,33.2487,,,,, 
131.86753,33.24868,,,,, 
131.86779,33.24865,,,,, 
131.86793,33.24864,,,,, 
131.8682,33.2486,,,,, 
131.86834,33.24859,,,,, 
131.86875,33.24855,,,,, 
131.86904,33.24852,,,,, 
131.86904,33.24852,,,,, 
131.86933,33.2485,,,,, 
131.86949,33.24849,,,,, 
131.86962,33.24848,,,,, 
131.86978,33.24847,,,,, 
131.87007,33.24844,,,,, 
131.8702,33.24844,,,,, 
131.87033,33.24843,,,,, 
131.87045,33.24843,,,,, 
131.87078,33.2484,,,,, 
131.871,33.24837,,,,, 
131.8711,33.24837,,,,, 
131.87127,33.24839,,,,, 
131.87141,33.24847,,,,, 
131.87156,33.24862,,,,, 
131.87164,33.24866,,,,, 
131.87216,33.24863,,,,, 
131.87242,33.24859,,,,, 
131.87228,33.24861,,,,, 
131.873,33.24851,,,,, 
131.87356,33.24845,,,,, 
131.8738,33.24845,,,,, 
131.87393,33.24847,,,,, 
131.87403,33.24851,,,,, 
131.87446,33.24888,,,,, 
131.87463,33.24905,,,,, 
131.8749,33.24932,,,,, 
131.8749,33.24932,,,,, 
131.87498,33.24942,,,,, 
131.8751,33.24963,,,,, 
131.87516,33.24974,,,,, 
131.87528,33.24997,,,,, 
131.87535,33.25009,,,,, 
131.87541,33.25022,,,,, 
131.87547,33.25035,,,,, 
131.87562,33.25075,,,,, 
131.87568,33.25088,,,,, 
131.87574,33.25101,,,,, 
131.8759,33.25138,,,,, 
131.87591,33.25141,,,,, 
131.87606,33.25147,,,,, 
131.87614,33.25146,,,,, 
131.87622,33.25145,,,,, 
131.87686,33.2514,,,,, 
131.8771,33.25138,,,,, 
131.87788,33.25138,,,,, 
131.878,33.25139,,,,, 
131.87814,33.25141,,,,, 
131.87857,33.25155,,,,, 
131.87867,33.25168,,,,, 
131.87872,33.25175,,,,, 
131.87878,33.25182,,,,, 
131.87886,33.25188,,,,, 
131.8789,33.25194,,,,, 
131.87896,33.252,,,,, 
131.87918,33.25226,,,,, 
131.87925,33.25233,,,,, 
131.87934,33.25239,,,,, 
131.87942,33.25246,,,,, 
131.87951,33.25252,,,,, 
131.87959,33.25257,,,,, 
131.87966,33.25262,,,,, 
131.87973,33.25265,,,,, 
131.87998,33.25263,,,,, 
131.88006,33.2526,,,,, 
131.88014,33.25257,,,,, 
131.88031,33.25248,,,,, 
131.8804,33.25243,,,,, 
131.8809,33.2522,,,,, 
131.88157,33.25175,,,,, 
131.88175,33.25128,,,,, 
131.88179,33.25124,,,,, 
131.88188,33.25129,,,,, 
131.88189,33.25135,,,,, 
131.882,33.25158,,,,, 
131.88256,33.25156,,,,, 
131.88264,33.2515,,,,, 
131.88275,33.25125,,,,, 
131.88279,33.25118,,,,, 
131.88284,33.25112,,,,, 
131.8829,33.251,,,,, 
131.88288,33.25093,,,,, 
131.88284,33.2509,,,,, 
131.88276,33.2509,,,,, 
131.8827,33.25091,,,,, 
131.88262,33.25094,,,,, 
131.88256,33.25099,,,,, 
131.8824,33.25104,,,,, 
131.8823,33.25102,,,,, 
131.88224,33.251,,,,, 
131.88209,33.25082,,,,, 
131.88209,33.25082,,,,, 
131.88204,33.25075,,,,, 
131.88191,33.25063,,,,, 
131.88183,33.25059,,,,, 
131.88172,33.25057,,,,, 
131.88162,33.25035,,,,, 
131.88179,33.25033,,,,, 
131.88203,33.2504,,,,, 
131.88203,33.2504,,,,, 
131.88233,33.25047,,,,, 
131.88244,33.25048,,,,, 
131.88264,33.25046,,,,, 
131.88284,33.2504,,,,, 
131.88304,33.25031,,,,, 
131.88331,33.25022,,,,, 
131.88342,33.25021,,,,, 
131.88368,33.25022,,,,, 
131.88392,33.25025,,,,, 
131.88403,33.25025,,,,, 
131.88412,33.25028,,,,, 
131.88418,33.25032,,,,, 
131.88424,33.25037,,,,, 
131.88435,33.25047,,,,, 
131.88441,33.25055,,,,, 
131.88447,33.25062,,,,, 
131.88453,33.25067,,,,, 
131.88461,33.25073,,,,, 
131.88468,33.25078,,,,, 
131.88493,33.25091,,,,, 
131.885,33.25095,,,,, 
131.88517,33.25107,,,,, 
131.88523,33.25114,,,,, 
131.88545,33.25131,,,,, 
131.88551,33.25142,,,,, 
131.88546,33.25161,,,,, 
131.88543,33.25179,,,,, 
131.88537,33.25207,,,,, 
131.88537,33.25215,,,,, 
131.88537,33.25215,,,,, 
131.8854,33.2523,,,,, 
131.88545,33.25235,,,,, 
131.88565,33.25247,,,,, 
131.88578,33.25251,,,,, 
131.88586,33.25251,,,,, 
131.88595,33.25251,,,,, 
131.88603,33.25252,,,,, 
131.88619,33.25256,,,,, 
131.88655,33.25258,,,,, 
131.88682,33.25264,,,,, 
131.8871,33.25296,,,,, 
131.88713,33.25304,,,,, 
131.88723,33.25317,,,,, 
131.88729,33.25323,,,,, 
131.88737,33.25329,,,,, 
131.88746,33.25335,,,,, 
131.88803,33.25356,,,,, 
131.88813,33.25356,,,,, 
131.88824,33.25356,,,,, 
131.88845,33.25359,,,,, 
131.88856,33.2536,,,,, 
131.88868,33.25362,,,,, 
131.88891,33.25362,,,,, 
131.88891,33.25362,,,,, 
